Points_0,Points_1,Points_2,p
-0.05,-0.05,0,0
-0.05,-0.048,0,-0.0291645
-0.05,-0.046,0,-0.0272143
-0.05,-0.044,0,-0.0263652
-0.05,-0.042,0,-0.023907
-0.05,-0.04,0,-0.0207773
-0.05,-0.038,0,-0.0174993
-0.05,-0.036,0,-0.0142116
-0.05,-0.034,0,-0.0111303
-0.05,-0.032,0,-0.00836471
-0.05,-0.03,0,-0.00602039
-0.05,-0.028,0,-0.00417732
-0.05,-0.026,0,-0.00290781
-0.05,-0.024,0,-0.00227732
-0.05,-0.022,0,-0.00234906
-0.05,-0.02,0,-0.00318606
-0.05,-0.018,0,-0.00485309
-0.05,-0.016,0,-0.00741817
-0.05,-0.014,0,-0.0109537
-0.05,-0.012,0,-0.0155375
-0.05,-0.01,0,-0.0212538
-0.05,-0.008,0,-0.0281943
-0.05,-0.006,0,-0.0364589
-0.05,-0.004,0,-0.0461574
-0.05,-0.002,0,-0.0574105
-0.05,0,0,-0.0703525
-0.05,0.002,0,-0.0851329
-0.05,0.004,0,-0.101921
-0.05,0.006,0,-0.120909
-0.05,0.008,0,-0.14232
-0.05,0.01,0,-0.166414
-0.05,0.012,0,-0.193502
-0.05,0.014,0,-0.22396
-0.05,0.016,0,-0.258251
-0.05,0.018,0,-0.296955
-0.05,0.02,0,-0.340814
-0.05,0.022,0,-0.390794
-0.05,0.024,0,-0.448168
-0.05,0.026,0,-0.514696
-0.05,0.028,0,-0.592701
-0.05,0.03,0,-0.685874
-0.05,0.032,0,-0.79839
-0.05,0.034,0,-0.940598
-0.05,0.036,0,-1.11603
-0.05,0.038,0,-1.37282
-0.05,0.04,0,-1.66007
-0.05,0.042,0,-2.33653
-0.05,0.044,0,-2.67652
-0.05,0.046,0,-6.13998
-0.05,0.048,0,-5.95844
-0.05,0.05,0,-57.2922
-0.048,-0.05,0,0
-0.048,-0.048,0,-0.030218
-0.048,-0.046,0,-0.0254689
-0.048,-0.044,0,-0.0267293
-0.048,-0.042,0,-0.0246217
-0.048,-0.04,0,-0.0224821
-0.048,-0.038,0,-0.0199121
-0.048,-0.036,0,-0.0173637
-0.048,-0.034,0,-0.0149529
-0.048,-0.032,0,-0.0128306
-0.048,-0.03,0,-0.0110988
-0.048,-0.028,0,-0.00984806
-0.048,-0.026,0,-0.00915632
-0.048,-0.024,0,-0.00909541
-0.048,-0.022,0,-0.00973376
