"u:0","u:1","u:2","p","node_groups"
0,0,0,0,0
0,0,0,-0.029164,0
0,0,0,-0.027214,0
0,0,0,-0.026365,0
0,0,0,-0.023907,0
0,0,0,-0.020777,0
0,0,0,-0.017499,0
0,0,0,-0.014212,0
0,0,0,-0.01113,0
0,0,0,-0.0083647,0
0,0,0,-0.0060204,0
0,0,0,-0.0041773,0
0,0,0,-0.0029078,0
0,0,0,-0.0022773,0
0,0,0,-0.0023491,0
0,0,0,-0.0031861,0
0,0,0,-0.0048531,0
0,0,0,-0.0074182,0
0,0,0,-0.010954,0
0,0,0,-0.015537,0
0,0,0,-0.021254,0
0,0,0,-0.028194,0
0,0,0,-0.036459,0
0,0,0,-0.046157,0
0,0,0,-0.057411,0
0,0,0,-0.070352,0
0,0,0,-0.085133,0
0,0,0,-0.10192,0
0,0,0,-0.12091,0
0,0,0,-0.14232,0
0,0,0,-0.16641,0
0,0,0,-0.1935,0
0,0,0,-0.22396,0
0,0,0,-0.25825,0
0,0,0,-0.29696,0
0,0,0,-0.34081,0
0,0,0,-0.39079,0
0,0,0,-0.44817,0
0,0,0,-0.5147,0
0,0,0,-0.5927,0
0,0,0,-0.68587,0
0,0,0,-0.79839,0
0,0,0,-0.9406,0
0,0,0,-1.116,0
0,0,0,-1.3728,0
0,0,0,-1.6601,0
0,0,0,-2.3365,0
0,0,0,-2.6765,0
0,0,0,-6.14,0
0,0,0,-5.9584,0
0,0,0,-57.292,0
0,0,0,0,0
0.00021468,0.0013939,0,-0.030218,0
0.0001142,0.00079746,0,-0.025469,0
2.0953e-05,0.00081272,0,-0.026729,0
-7.512e-05,0.0008743,0,-0.024622,0
-0.00016214,0.0011337,0,-0.022482,0
-0.00024299,0.0015433,0,-0.019912,0
-0.00031774,0.0021034,0,-0.017364,0
-0.00038758,0.0028022,0,-0.014953,0
-0.00045339,0.0036326,0,-0.012831,0
-0.0005161,0.0045881,0,-0.011099,0
-0.00057654,0.0056638,0,-0.0098481,0
-0.00063546,0.0068563,0,-0.0091563,0
-0.00069349,0.0081632,0,-0.0090954,0
-0.00075123,0.0095835,0,-0.0097338,0
-0.00080917,0.011117,0,-0.011139,0
-0.00086777,0.012765,0,-0.013381,0
-0.00092742,0.014528,0,-0.01653,0
-0.00098849,0.01641,0,-0.020663,0
-0.0010513,0.018412,0,-0.025861,0
-0.0011163,0.02054,0,-0.032212,0
-0.0011838,0.022796,0,-0.03981,0
-0.0012543,0.025187,0,-0.048761,0
-0.0013282,0.027717,0,-0.059178,0
-0.0014062,0.030396,0,-0.071189,0
-0.0014892,0.033229,0,-0.084935,0
-0.001578,0.036229,0,-0.10057,0
-0.0016741,0.039407,0,-0.11829,0
-0.0017791,0.042778,0,-0.13829,0
-0.0018953,0.046362,0,-0.16082,0
-0.0020255,0.05018,0,-0.18616,0
-0.0021734,0.054263,0,-0.21466,0
-0.0023441,0.058647,0,-0.24675,0
-0.0025439,0.063381,0,-0.28294,0
-0.0027814,0.068526,0,-0.32389,0
-0.0030682,0.074159,0,-0.37044,0
-0.0034198,0.080385,0,-0.42372,0
-0.0038577,0.087338,0,-0.48517,0
-0.0044122,0.095197,0,-0.5568,0
-0.0051264,0.1042,0,-0.64143,0
-0.0060647,0.11469,0,-0.74288,0
-0.0073228,0.1271,0,-0.8674,0
-0.0090587,0.1421,0,-1.0225,0
-0.01151,0.16057,0,-1.2266,0
-0.01516,0.18413,0,-1.489,0
